T,t,strength_result1,strength_result2,strength_result3,modulus_result1,modulus_result2,modulus_result3,elongation_result1,elongation_result2,elongation_result3,tg_result1,tg_result2,tg_result3
0.06,0.53,121.7279734762578,139.08720955169392,138.34129302344732,4450.124471126699,4496.378631232059,4448.331241814285,4.482197684248094,6.197390184397824,6.438498529612886,122.00356014162972,127.1246418171927,128.6527396081295
0.06,0.54,122.1949731017151,138.92906963902706,138.66050413047307,4443.651952039207,4497.895702030564,4443.505151010784,4.51962417651079,6.185631709211416,6.474464829600668,122.01917247595557,127.03792430885386,128.5234269580434
0.06,0.55,122.67087070674802,138.76261794626325,138.96978207701852,4437.062909077715,4499.245950024484,4438.624267328409,4.5573058846521874,6.17316336319296,6.508785823210164,122.03817005324245,126.94763112848702,128.39173474521206
0.06,0.56,123.1543084510671,138.58807431002967,139.2686022945775,4430.369579555874,4500.424478209065,4433.692011941308,4.595145630822813,6.1600032464837895,6.541424285107649,122.06046390839202,126.85389962857494,128.25788400002412
0.06,0.57,123.64389094326214,138.40564145190604,139.5564385207868,4423.5839796979235,4501.4263557799495,4428.71145420281,4.633044574201576,6.146168637459108,6.572345334374222,122.08595026537125,126.75686068325888,128.12208477038814
0.06,0.58,124.13819297880394,138.21550396090242,139.83276584938915,4416.717852697857,4502.246630191727,4423.685320580547,4.670902758302393,6.1316759064557775,6.6015164677501526,122.11451109199206,126.65663812142014,127.98453488119006
0.06,0.59,124.6357672140953,138.0178273729248,140.09706352037725,4409.782618315308,4502.880339021027,4418.616003714746,4.708619651058394,6.116540434997537,6.628907581878227,122.14601467062204,126.55334818871864,127.845418830027
0.06,0.6,125.135151708266,137.81275735818858,140.34881742578588,4402.789324420104,4503.322521610393,4413.505571475911,4.746094672833652,6.100776541501511,6.654490984889684,122.18031618140807,126.44709904342622,127.70490682751543
0.06,0.61,125.63487726877094,137.6004190266048,140.58752231825983,4395.748600879822,4503.568230476518,4408.355775938804,4.783227707857981,6.0843974144120825,6.678241397850411,122.21725829522225,126.33799029084417,127.56315398713136
0.06,0.62,126.13347454196915,137.38091636006644,140.81268372005806,4388.670616162024,4503.612542474257,4403.168062223491,4.819919594975818,6.06741505365418,6.700135946749991,122.25667177413962,126.22611256093197,127.42029966643668
0.06,0.63,126.62948079563674,137.15433177931425,141.0238195392716,4381.56503699391,4503.450569714038,4397.943577182128,4.856072594037597,6.049840221229439,6.720154145863066,122.29837607781039,126.11154713354958,127.27646695877067
0.06,0.64,127.12144634670156,136.9207258517111,141.22046140760966,4374.440991389838,4503.077470235479,4392.683177931869,4.891590824734017,6.031682401695965,6.738277873435933,122.34217997455445,125.99436561539474,127.13176233204834
0.06,0.65,127.60794059427221,136.68013714481452,141.40215576005764,4367.30703531755,4502.48845844463,4387.3874402506135,4.9263806751711,6.012949773177821,6.7544913407442975,122.38788215641085,125.87462967228885,126.98627540926233
0.06,0.66,128.08755762515676,136.43258222915455,141.56846468107085,4360.171123233085,4501.67881532446,4382.056666863187,4.9603511779996134,5.993649189444344,6.76878105562888,122.4352718576502,125.75239081999314,126.84007888362234
0.06,0.67,128.5589213663849,136.17805583211344,141.71896654482498,4353.040582667811,4500.6438984298875,4376.690895653037,4.993414352436106,5.973786173485097,6.781135781640643,122.48412947648833,125.62769027613783,126.69322855996094
0.06,0.68,129.02069026664032,135.9165311433099,141.85325647852358,4345.9220930028605,4499.37915167768,4371.289907838225,5.025485511036436,5.953364922884207,6.791546493918244,122.53422719982865,125.50055887521378,126.54576351310038
0.06,0.69,129.47156149582344,135.64796027040734,141.97094667803324,4338.82166851723,4497.880114940468,4365.853236151759,5.056483530595662,5.932388327170459,6.800006332877928,122.5853296308994,125.37101704787077,126.39770635325641
0.06,0.7,129.91027465905836,135.37227484285066,142.0716666043783,4331.744645744398,4496.142433450452,4360.380173065876,5.086331087042395,5.910857997188417,6.806510556724593,122.63719441960865,125.23907486502324,126.2490635882072
